Symbol,Name,Market Cap,Country,IPO Year,Volume,Sector,Industry
DBX,Dropbox Inc. Class A Common Stock,7343474684,United States,2018,2410253,Technology,Computer Software: Prepackaged Software
DC,Dakota Gold Corp. Common Stock,208745695,United States,2022,120962,Basic Materials,Metal Mining
DCBO,Docebo Inc. Common Shares,1163995371,Canada,,92433,Technology,Computer Software: Prepackaged Software
DCF,BNY Mellon Alcentra Global Credit Income 2024 Target Term Fund Inc. Common Stock,0,,2017,31043,Finance,Finance/Investors Services
DCGO,DocGo Inc. Common Stock,299618346,United States,2020,642673,Health Care,Medical/Nursing Services
DCI,Donaldson Company Inc. Common Stock,8478935170,United States,,325497,Industrials,Pollution Control Equipment
DCO,Ducommun Incorporated Common Stock,853841931,United States,,19948,Industrials,Military/Government/Technical
DCOM,Dime Community Bancshares Inc. Common Stock,768489406,United States,,112137,Finance,Major Banks
DCOMG,Dime Community Bancshares Inc. 9.000% Fixed-to-Floating Rate Subordinated Notes due 2034,0,United States,,28946,Finance,Major Banks
DCOMP,Dime Community Bancshares Inc. Fixed-Rate Non-Cumulative Perpetual Preferred Stock Series A,664829070,United States,,6965,Finance,Major Banks
DCTH,Delcath Systems Inc. Common Stock,219785702,United States,,154815,Health Care,Medical/Dental Instruments
DD,DuPont de Nemours Inc. Common Stock,33226755873,United States,2017,1500006,Industrials,Major Chemicals
DDC,DDC Enterprise Limited Class A Ordinary Shares,12810533,,2023,102479,Consumer Staples,Packaged Foods
DDD,3D Systems Corporation Common Stock,467019172,United States,,3106537,Technology,Computer Software: Prepackaged Software
DDI,DoubleDown Interactive Co. Ltd. American Depository Shares,623134508,South Korea,2021,15620,Technology,EDP Services
DDL,Dingdong (Cayman) Limited American Depositary Shares (each two representing three Ordinary Shares),218510610,Cayman Islands,2021,588112,Consumer Discretionary,Catalog/Specialty Distribution
DDOG,Datadog Inc. Class A Common Stock,44287642709,United States,2019,3769305,Technology,Computer Software: Prepackaged Software
DDS,Dillard's Inc. Common Stock,7018793020,United States,,88494,Consumer Discretionary,Department/Specialty Retail Stores
DDT,Dillard's Capital Trust I,423049649,United States,,12754,Consumer Discretionary,Department/Specialty Retail Stores
DE,Deere & Company Common Stock,97827462890,United States,,1668078,Industrials,Industrial Machinery/Components
DEA,Easterly Government Properties Inc. Common Stock,1300877105,United States,2015,850800,Real Estate,Real Estate Investment Trusts
DEC,Diversified Energy Company plc Ordinary Shares,680642903,,,288642,,
DECA,Denali Capital Acquisition Corp. Class A Ordinary Shares,0,United States,2022,1104,Finance,Blank Checks
DECAU,Denali Capital Acquisition Corp. Unit,0,United States,2022,101,Finance,Blank Checks
DECAW,Denali Capital Acquisition Corp. Warrant,0,United States,2022,1638,Finance,Blank Checks
DECK,Deckers Outdoor Corporation Common Stock,24239064987,United States,1993,303600,Consumer Discretionary,Shoe Manufacturing
DEI,Douglas Emmett Inc. Common Stock,2227810989,United States,2006,563028,Real Estate,Real Estate Investment Trusts
DELL,Dell Technologies Inc. Class C Common Stock ,1.03537E+11,United States,2018,12335137,Technology,Computer Manufacturing
DENN,Denny's Corporation Common Stock,342802462,United States,,486006,Consumer Discretionary,Restaurants
DEO,Diageo plc Common Stock,71540798402,United Kingdom,,490211,Consumer Staples,Beverages (Production/Distribution)
DERM,Journey Medical Corporation Common Stock,113873378,United States,2021,91271,Health Care,Biotechnology: Pharmaceutical Preparations
DESP,Despegar.com Corp. Ordinary Shares,968408569,Argentina,2017,792762,Consumer Discretionary,Transportation Services
DFH,Dream Finders Homes Inc. Class A Common Stock,2376010631,United States,2022,315334,Consumer Discretionary,Homebuilding
DFIN,Donnelley Financial Solutions Inc. Common Stock ,1729050249,United States,2016,89518,Consumer Discretionary,Other Consumer Services
DFLI,Dragonfly Energy Holdings Corp. Common Stock (NV),47862996,United States,2021,373637,Miscellaneous,Industrial Machinery/Components
DFLIW,Dragonfly Energy Holdings Corp. Warrant,2964964,United States,2021,851,Miscellaneous,Industrial Machinery/Components
DFP,Flaherty & Crumrine Dynamic Preferred and Income Fund Inc. Common Stock,0,,2013,62595,Finance,Investment Managers
DFS,Discover Financial Services Common Stock,32292191908,United States,,1290448,Finance,Finance: Consumer Services
DG,Dollar General Corporation Common Stock,28612692118,United States,2009,1874088,Consumer Discretionary,Department/Specialty Retail Stores
DGHI,Digihost Technology Inc. Common Subordinate Voting Shares,39300457,Canada,,51458,Finance,Finance: Consumer Services
DGICA,Donegal Group Inc. Class A Common Stock,427101957,United States,,34889,Finance,Property-Casualty Insurers
DGICB,Donegal Group Inc. Class B Common Stock,376006671,United States,1986,2316,Finance,Property-Casualty Insurers
DGII,Digi International Inc. Common Stock,827522036,United States,1989,166409,Telecommunications,Computer Communications Equipment
DGLY,Digital Ally Inc. Common Stock,6350016,United States,,10942,Technology,Radio And Television Broadcasting And Communications Equipment
DGX,Quest Diagnostics Incorporated Common Stock,15432841460,United States,,642489,Health Care,Medical Specialities
DH,Definitive Healthcare Corp. Class A Common Stock,632130062,United States,2021,247639,Technology,Computer Software: Prepackaged Software
DHAI,DIH Holdings US Inc. Class A Common Stock,128527444,United States,2024,17917,Health Care,Medical/Dental Instruments
DHAIW,DIH Holding US Inc. Warrants,2023192,United States,2024,2617,Health Care,Medical/Dental Instruments
DHC,Diversified Healthcare Trust Common Shares of Beneficial Interest,774067785,United States,,676029,Real Estate,Real Estate Investment Trusts
DHCNI,Diversified Healthcare Trust 5.625% Senior Notes due 2042,3355896359,United States,,27813,Real Estate,Real Estate Investment Trusts
DHCNL,Diversified Healthcare Trust 6.25% Senior Notes Due 2046,3637157014,United States,,11880,Real Estate,Real Estate Investment Trusts
DHF,BNY Mellon High Yield Strategies Fund Common Stock,0,United States,1998,374834,Finance,Finance Companies
DHI,D.R. Horton Inc. Common Stock,44845741933,United States,,1665882,Consumer Discretionary,Homebuilding
DHIL,Diamond Hill Investment Group Inc. Class A Common Stock,390644743,United States,,11967,Finance,Investment Managers
DHR,Danaher Corporation Common Stock,1.78246E+11,United States,,2489778,Industrials,Industrial Machinery/Components
DHT,DHT Holdings Inc.,1733965067,Jersey,2005,3527698,Consumer Discretionary,Marine Transportation
DHX,DHI Group Inc. Common Stock,107798470,United States,2007,94809,Consumer Discretionary,Business Services
DHY,Credit Suisse High Yield Bond Fund Common Stock,0,United States,1998,607446,Finance,Finance/Investors Services
DIAX,Nuveen Dow 30SM Dynamic Overwrite Fund Common Shares of Beneficial Interest,0,,2014,69590,Finance,Finance Companies
DIBS,1stdibs.com Inc. Common Stock,173647379,United States,2021,83609,Consumer Discretionary,Catalog/Specialty Distribution
DIN,Dine Brands Global Inc. Common Stock,495719030,United States,,574545,Consumer Discretionary,Restaurants
DINO,HF Sinclair Corporation Common Stock,9605950426,United States,1960,1589334,Energy,Natural Gas Distribution
DIOD,Diodes Incorporated Common Stock,3574063831,United States,,251723,Technology,Semiconductors
DIS,Walt Disney Company (The) Common Stock,1.7751E+11,United States,,8159388,Consumer Discretionary,Services-Misc. Amusement & Recreation
DIST,Distoken Acquisition Corporation Ordinary Shares,0,China,2023,1,Finance,Blank Checks
DIT,AMCON Distributing Company Common Stock,94831659,United States,1999,570,Consumer Discretionary,Food Distributors
DJCO,Daily Journal Corp. (S.C.) Common Stock,556208342,United States,,8835,Consumer Discretionary,Newspapers/Magazines
DJT,Trump Media & Technology Group Corp. Common Stock,5357561677,United States,2024,5924927,Technology,Computer Software: Programming Data Processing
DJTWW,Trump Media & Technology Group Corp. Warrants,3429740646,United States,2021,170710,Technology,Computer Software: Programming Data Processing
DK,Delek US Holdings Inc. Common Stock,1484634363,United States,2017,502394,Energy,Integrated oil Companies
DKL,Delek Logistics Partners L.P. Common Units representing Limited Partner Interests,1903278976,United States,2012,68614,Energy,Natural Gas Distribution
DKNG,DraftKings Inc. Class A Common Stock,17901248620,United States,2019,7393739,Consumer Discretionary,Services-Misc. Amusement & Recreation
DKS,Dick's Sporting Goods Inc Common Stock,16386040367,United States,2002,936318,Consumer Discretionary,Other Specialty Stores
DLB,Dolby Laboratories Common Stock,7622750420,United States,2005,298703,Miscellaneous,Multi-Sector Companies
DLHC,DLH Holdings Corp.,154284538,United States,,42857,Consumer Discretionary,Professional Services
DLNG,Dynagas LNG Partners LP Common Units,137773271,Greece,,87871,Consumer Discretionary,Marine Transportation
DLNG^A,Dynagas LNG Partners LP 9.00% Series A Cumulative Redeemable Preferred Units,,Greece,,1693,,
DLNG^B,Dynagas LNG Partners LP 8.75% Series B Fixed to Floating Rate Cumulative Redeemable Perpetual Preferred Units liquidation preference $25.00 per Uni,,Greece,,14410,,
DLO,DLocal Limited Class A Common Shares,2489289903,Uruguay,2021,1899402,Consumer Discretionary,Business Services
DLPN,Dolphin Entertainment Inc. Common Stock,14974380,United States,,47224,Consumer Discretionary,Other Consumer Services
DLR,Digital Realty Trust Inc. Common Stock,48007473507,United States,2004,1149350,Real Estate,Real Estate Investment Trusts
DLR^J,Digital Realty Trust Inc. 5.250% Series J Cumulative Redeemable Preferred Stock,,United States,,10248,,
DLR^K,Digital Realty Trust Inc. 5.850% Series K Cumulative Redeemable Preferred Stock par value $0.01 per share,,United States,,8504,,
DLR^L,Digital Realty Trust Inc. 5.200% Series L Cumulative Redeemable Preferred Stock,,United States,,18298,,
DLTH,Duluth Holdings Inc. Class B Common Stock,124482497,United States,2015,37434,Consumer Discretionary,Clothing/Shoe/Accessory Stores
DLTR,Dollar Tree Inc. Common Stock,22938823680,United States,1995,1437106,Consumer Discretionary,Department/Specialty Retail Stores
DLX,Deluxe Corporation Common Stock,963722892,United States,,147335,Consumer Discretionary,Publishing
DLY,DoubleLine Yield Opportunities Fund Common Shares of Beneficial Interest,772406500,United States,2020,73296,Finance,Investment Managers
DM,Desktop Metal Inc. Class A Common Stock,165197980,United States,2019,1582730,Technology,Industrial Machinery/Components
DMA,Destra Multi-Alternative Fund Common Stock,0,,2022,20163,Finance,Trusts Except Educational Religious and Charitable
DMAC,DiaMedica Therapeutics Inc. Common Stock,117308500,United States,2018,112453,Health Care,Biotechnology: Pharmaceutical Preparations
DMB,BNY Mellon Municipal Bond Infrastructure Fund Inc. Common Stock,0,,2013,73287,Finance,Trusts Except Educational Religious and Charitable
DMF,BNY Mellon Municipal Income Inc. Common Stock,446002515,United States,1988,16434,Finance,Finance/Investors Services
DMLP,Dorchester Minerals L.P. Common Units Representing Limited Partnership Interests,1267601911,United States,,49129,Energy,Oil & Gas Production
DMO,Western Asset Mortgage Opportunity Fund Inc. Common Stock,0,United States,2010,35139,Finance,Trusts Except Educational Religious and Charitable
DMRC,Digimarc Corporation Common Stock,660008214,United States,,76359,Technology,EDP Services
DMYY,dMY Squared Technology Group Inc. Class A Common Stock,0,,2022,50001,Finance,Blank Checks
DNA,Ginkgo Bioworks Holdings Inc. Class A Common Stock,752940148,United States,2021,43123232,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DNB,Dun & Bradstreet Holdings Inc. Common Stock,4064146760,United States,2020,2033706,Finance,Finance: Consumer Services
DNLI,Denali Therapeutics Inc. Common Stock,3021885473,United States,2017,839059,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DNMR,Danimer Scientific Inc. Common Stock,65387481,United States,2020,718226,Industrials,Major Chemicals
DNN,Denison Mines Corp Ordinary Shares (Canada),1811284280,Canada,,16892610,Basic Materials,Other Metals and Minerals
DNOW,DNOW Inc. Common Stock,1398045366,United States,2014,700260,Industrials,Metal Fabrications
DNP,DNP Select Income Fund Inc. Common Stock,0,United States,1987,686455,Finance,Investment Managers
DNTH,Dianthus Therapeutics Inc. Common Stock,828535510,United States,2018,306970,Health Care,Biotechnology: Pharmaceutical Preparations
DNUT,Krispy Kreme Inc. Common Stock,1693748000,United States,2021,1448741,Consumer Staples,Food Chains
DO,Diamond Offshore Drilling Inc. Common Stock,1573087034,United States,2022,1593748,Energy,Oil & Gas Production
DOC,Healthpeak Properties Inc. Common Stock,13815231159,United States,,4478823,Real Estate,Real Estate Investment Trusts
DOCN,DigitalOcean Holdings Inc. Common Stock,3158136203,United States,2021,927115,Technology,Computer Software: Programming Data Processing
DOCS,Doximity Inc. Class A Common Stock,5039874685,United States,2021,947598,Technology,EDP Services
DOCU,DocuSign Inc. Common Stock,11019881336,United States,1989,1579349,Technology,Computer Software: Prepackaged Software
DOGZ,Dogness (International) Corporation Class A Common Stock,166230591,China,2017,136253,Consumer Discretionary,Miscellaneous manufacturing industries
DOLE,Dole plc Ordinary Shares,1162882443,Ireland,2021,671459,Consumer Staples,Farming/Seeds/Milling
DOMA,Doma Holdings Inc. Common Stock,84073470,United States,2021,8026,Finance,Specialty Insurers
DOMH,Dominari Holdings Inc. Common Stock,11276342,United States,,4856,Health Care,Biotechnology: Pharmaceutical Preparations
DOMO,Domo Inc. Class B Common Stock,279057079,United States,2018,245901,Technology,Computer Software: Prepackaged Software
DOOO,BRP Inc. (Recreational Products) Common Subordinate Voting Shares,4649549772,Canada,,59733,Consumer Discretionary,Industrial Specialties
DORM,Dorman Products Inc. Common Stock,2794268777,United States,,92129,Consumer Discretionary,Auto Parts:O.E.M.
DOUG,Douglas Elliman Inc. Common Stock,103304359,United States,2021,672434,Finance,Real Estate
DOV,Dover Corporation Common Stock,24255048938,United States,,705752,Industrials,Industrial Machinery/Components
DOW,Dow Inc. Common Stock ,37129267824,United States,2019,3885478,Industrials,Major Chemicals
DOX,Amdocs Limited Ordinary Shares,9193028140,Guernsey,,565121,Technology,EDP Services
DOYU,DouYu International Holdings Limited ADS,552357122,China,2019,880598,Technology,Computer Software: Programming Data Processing
DPCS,DP Cap Acquisition Corp I Class A Ordinary Shares,0,United States,2021,2,Finance,Blank Checks
DPCSU,DP Cap Acquisition Corp I Unit,0,United States,2021,99,Finance,Blank Checks
DPG,Duff & Phelps Utility and Infrastructure Fund Inc.,0,United States,2011,98867,Finance,Trusts Except Educational Religious and Charitable
DPRO,Draganfly Inc. Common Shares,13071682,Canada,,331710,Industrials,Aerospace
DPZ,Domino's Pizza Inc Common Stock,17451618972,United States,2004,614308,Consumer Discretionary,Food Distributors
DQ,DAQO New Energy Corp. American Depositary Shares each representing five ordinary shares,1030376310,China,2010,527474,Technology,Semiconductors
DRCT,Direct Digital Holdings Inc. Class A Common Stock,57224404,United States,2022,81280,Consumer Discretionary,Advertising
DRD,DRDGOLD Limited American Depositary Shares,804067500,South Africa,,142284,Basic Materials,Precious Metals
DRH,Diamondrock Hospitality Company Common Stock,1728830284,United States,2005,1937148,Real Estate,Real Estate Investment Trusts
DRH^A,Diamondrock Hospitality Company 8.250% Series A Cumulative Redeemable Preferred Stock,,United States,,3842,,
DRI,Darden Restaurants Inc. Common Stock,17281981936,United States,,910706,Consumer Discretionary,Restaurants
DRIO,DarioHealth Corp. Common Stock,33813273,Israel,,112743,Health Care,Medical/Dental Instruments
DRMA,Dermata Therapeutics Inc. Common Stock,1025769,United States,2021,25216,Health Care,Biotechnology: Pharmaceutical Preparations
DRMAW,Dermata Therapeutics Inc. Warrant,6217,United States,2021,3403,Health Care,Biotechnology: Pharmaceutical Preparations
DRQ,Dril-Quip Inc. Common Stock,611650846,United States,1997,320508,Industrials,Metal Fabrications
DRRX,DURECT Corporation Common Stock,39109620,United States,2000,212630,Health Care,Biotechnology: Pharmaceutical Preparations
DRS,Leonardo DRS Inc. Common Stock,6820643284,Israel,,355446,Industrials,Industrial Machinery/Components
DRTS,Alpha Tau Medical Ltd. Ordinary Shares,153275346,Israel,,16216,Health Care,Medical/Dental Instruments
DRTSW,Alpha Tau Medical Ltd. Warrant,18114359,Israel,,100,Health Care,Medical/Dental Instruments
DRUG,Bright Minds Biosciences Inc. Common Stock,4687029,Canada,,4337,Health Care,Biotechnology: Pharmaceutical Preparations
DRVN,Driven Brands Holdings Inc. Common Stock,2147804386,United States,2021,1891395,Consumer Discretionary,Automotive Aftermarket
DSGN,Design Therapeutics Inc. Common Stock,197732637,United States,2021,93881,Health Care,Biotechnology: Pharmaceutical Preparations
DSGR,Distribution Solutions Group Inc. Common Stock,1351838173,United States,,82342,Consumer Discretionary,Industrial Specialties
DSGX,Descartes Systems Group Inc. (The) Common Stock,8532182989,Canada,,132210,Technology,Computer Software: Prepackaged Software
DSL,DoubleLine Income Solutions Fund Common Shares of Beneficial Interests,1286180001,United States,2013,589641,Finance,Trusts Except Educational Religious and Charitable
DSM,BNY Mellon Strategic Municipal Bond Fund Inc. Common Stock,0,United States,1989,194655,Finance,Investment Managers
DSP,Viant Technology Inc. Class A Common Stock,644470099,United States,2021,107926,Technology,Computer Software: Programming Data Processing
DSS,DSS Inc. Common Stock,11730842,United States,,1734,Consumer Discretionary,Containers/Packaging
DSU,Blackrock Debt Strategies Fund Inc. Common Stock,0,United States,1998,127895,Finance,Finance Companies
DSWL,Deswell Industries Inc. Common Shares,38881983,Macau,1995,2467,Industrials,Plastic Products
DSX,Diana Shipping inc. common stock,335896168,Greece,2005,485159,Consumer Discretionary,Marine Transportation
DSX^B,Diana Shipping Inc. Perpetual Preferred Shares Series B (Marshall Islands),,Greece,,4077,,
DSY,Big Tree Cloud Holdings Limited Ordinary Shares,99314442,China,,63205,Consumer Discretionary,Containers/Packaging
DSYWW,Big Tree Cloud Holdings Limited Warrants,3344920,China,,92896,Consumer Discretionary,Containers/Packaging
DT,Dynatrace Inc. Common Stock,13466471172,United States,2019,1853326,Technology,Computer Software: Prepackaged Software
DTB,DTE Energy Company 2020 Series G 4.375% Junior Subordinated Debentures due 2080,4053900610,United States,2020,4695,Utilities,Electric Utilities: Central
DTC,Solo Brands Inc. Class A Common Stock,197138457,United States,2021,156170,Consumer Discretionary,Recreational Games/Products/Toys
DTCK,Davis Commodities Limited Ordinary Shares,30870788,Singapore,2023,649342,Industrials,Farming/Seeds/Milling
DTE,DTE Energy Company Common Stock,22558228968,United States,,972113,Utilities,Electric Utilities: Central
DTF,DTF Tax-Free Income 2028 Term Fund Inc. Common Stock,77465828,United States,1991,1503,Finance,Investment Managers
DTG,DTE Energy Company 2021 Series E 4.375% Junior Subordinated Debentures,4178062956,United States,2021,9817,Utilities,Electric Utilities: Central
DTI,Drilling Tools International Corporation Common Stock,188435035,United States,2021,115359,Industrials,Metal Fabrications
DTIL,Precision BioSciences Inc. Common Stock,64408061,United States,2019,28671,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DTM,DT Midstream Inc. Common Stock ,6733544994,United States,2021,513881,Utilities,Natural Gas Distribution
DTSS,Datasea Inc. Common Stock,8225869,China,,83434,Technology,Computer Software: Prepackaged Software
DTST,Data Storage Corporation Common Stock,45520258,United States,,92558,Technology,EDP Services
DTSTW,Data Storage Corporation Warrant,8923504,United States,,1025,Technology,EDP Services
DTW,DTE Energy Company 2017 Series E 5.25% Junior Subordinated Debentures due 2077,4949938876,United States,2017,31356,Utilities,Electric Utilities: Central
DUET,DUET Acquisition Corp. Class A Common Stock,0,Malaysia,2022,2000,Finance,Blank Checks
DUETW,DUET Acquisition Corp. Warrant,0,Malaysia,2022,55,Finance,Blank Checks
DUK,Duke Energy Corporation (Holding Company) Common Stock,77670793112,United States,,2535134,Utilities,Power Generation
DUK^A,Duke Energy Corporation Depositary Shares each representing a 1/1000th interest in a share of 5.75% Series A Cumulative Redeemable Perpetual Preferred Stock,,United States,,24105,,
DUKB,Duke Energy Corporation 5.625% Junior Subordinated Debentures due 2078,19340521417,United States,2018,11826,Utilities,Power Generation
DUO,Fangdd Network Group Ltd. American Depositary Shares,3486746,China,2019,86552,Finance,Real Estate
DUOL,Duolingo Inc. Class A Common Stock,8482551832,United States,2021,477265,Technology,Computer Software: Prepackaged Software
DUOT,Duos Technologies Group Inc. Common Stock,20110403,United States,,23436,Technology,Computer Software: Prepackaged Software
DV,DoubleVerify Holdings Inc. Common Stock,3442800678,United States,2021,1912369,Technology,Computer Software: Programming Data Processing
DVA,DaVita Inc. Common Stock,12048226000,United States,,564286,Health Care,Misc Health and Biotechnology Services
DVAX,Dynavax Technologies Corporation Common Stock,1463369318,United States,2004,2439925,Health Care,Biotechnology: Pharmaceutical Preparations
DVN,Devon Energy Corporation Common Stock,29400640000,United States,1985,11871850,Energy,Oil & Gas Production
DWSN,Dawson Geophysical Company Common Stock,57927179,United States,,6453,Energy,Oil & Gas Production
DX,Dynex Capital Inc. Common Stock,751324502,United States,,1896231,Real Estate,Real Estate Investment Trusts
DX^C,Dynex Capital Inc. 6.900% Series C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,,United States,,15218,,
DXC,DXC Technology Company Common Stock ,3428824613,United States,,902407,Technology,EDP Services
DXCM,DexCom Inc. Common Stock,44130975392,United States,2005,1647765,Health Care,Medical/Dental Instruments
DXF,Dunxin Financial Holdings Limited American Depositary Shares,3879282,China,,336971,Finance,Finance: Consumer Services
DXLG,Destination XL Group Inc. Common Stock,194481697,United States,,261806,Consumer Discretionary,Clothing/Shoe/Accessory Stores
DXPE,DXP Enterprises Inc. Common Stock,699571156,United States,,46794,Industrials,Industrial Machinery/Components
DXR,Daxor Corporation Common Stock,36863459,United States,,1260,Health Care,Medical/Dental Instruments
DXYN,Dixie Group Inc. (The) Common Stock,9216116,United States,,20441,Consumer Discretionary,Home Furnishings
DXYZ,Destiny Tech100 Inc. Common Stock,0,,2024,475774,,
DY,Dycom Industries Inc. Common Stock,4942641030,United States,,132398,Industrials,Water Sewer Pipeline Comm & Power Line Construction
DYAI,Dyadic International Inc. Common Stock,40931540,United States,,69765,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DYCQ,DT Cloud Acquisition Corporation Ordinary Shares,0,United Kingdom,2024,7100,,
DYCQU,DT Cloud Acquisition Corporation Unit,0,United Kingdom,2024,300,,
DYN,Dyne Therapeutics Inc. Common Stock,2936930463,United States,2020,715349,Health Care,Biotechnology: Pharmaceutical Preparations
DYNT,Dynatronics Corporation Common Stock,1295279,United States,,8684553,Health Care,Medical/Dental Instruments
DZSI,DZS Inc. Common Stock,37391734,United States,,95130,Utilities,Telecommunications Equipment
E,ENI S.p.A. Common Stock,52124481083,Italy,,244886,Energy,Oil & Gas Production
EA,Electronic Arts Inc. Common Stock,37199788108,United States,,1568284,Technology,Computer Software: Prepackaged Software
EAD,Allspring Income Opportunities Fund Common Shares,0,United States,2003,94460,Finance,Finance/Investors Services
EAF,GrafTech International Ltd. Common Stock,262310470,United States,2018,1849961,Energy,Industrial Machinery/Components
EAI,Entergy Arkansas LLC First Mortgage Bonds 4.875% Series Due September 1 2066,4682865006,United States,2016,5413,Utilities,Electric Utilities: Central
EARN,Ellington Credit Company Common Shares of Beneficial Interest,139733721,United States,2013,326299,Real Estate,Real Estate Investment Trusts
EAST,Eastside Distilling Inc. Common Stock,1724829,United States,,10243,Consumer Staples,Beverages (Production/Distribution)
EAT,Brinker International Inc. Common Stock,3119674982,United States,,1946757,Consumer Discretionary,Restaurants
EB,Eventbrite Inc. Class A Common Stock,456441788,United States,2018,977590,Technology,Computer Software: Programming Data Processing
EBAY,eBay Inc. Common Stock,26711740000,United States,1998,3875217,Consumer Discretionary,Business Services
EBC,Eastern Bankshares Inc. Common Stock,2419851235,United States,2020,571773,Finance,Savings Institutions
EBF,Ennis Inc. Common Stock,559175981,United States,,88911,Consumer Discretionary,Office Equipment/Supplies/Services
EBMT,Eagle Bancorp Montana Inc. Common Stock,103015674,United States,2010,3322,Finance,Major Banks
EBON,Ebang International Holdings Inc. Class A Ordinary Shares,40376097,China,2020,4542,Technology,Semiconductors
EBR,Centrais Electricas Brasileiras S A American Depositary Shares (Each representing one Common Share),15585951117,Brazil,2016,640663,Utilities,Electric Utilities: Central
EBS,Emergent Biosolutions Inc. Common Stock,426027041,United States,2006,2980598,Health Care,Biotechnology: Pharmaceutical Preparations
EBTC,Enterprise Bancorp Inc Common Stock,289072478,United States,,10498,Finance,Major Banks
EC,Ecopetrol S.A. American Depositary Shares,23087024074,Colombia,,1046899,Energy,Oil & Gas Production
ECAT,BlackRock ESG Capital Allocation Term Trust Common Shares of Beneficial Interest,1930209750,,2021,218075,Finance,Trusts Except Educational Religious and Charitable
ECBK,ECB Bancorp Inc. Common Stock,116320080,United States,2022,1120,Finance,Banks
ECC           ,Eagle Point Credit Company Inc. Common Stock,621790871,United States,2014,974818,Finance,Trusts Except Educational Religious and Charitable
ECC^D,Eagle Point Credit Company Inc. 6.75% Series D Preferred Stock,,United States,,8239,,
ECCC,Eagle Point Credit Company Inc. 6.50% Series C Term Preferred Stock due 2031,1355807411,United States,,1587,Finance,Trusts Except Educational Religious and Charitable
ECCF,Eagle Point Credit Company Inc. 8.00% Series F Term Preferred Stock due 2029,27108062284,United States,,4075,,
ECCV,Eagle Point Credit Company Inc. 5.375% Notes due 2029,1367939916,United States,2022,867,Finance,Trusts Except Educational Religious and Charitable
ECCW,Eagle Point Credit Company Inc. 6.75% Notes due 2031,1479558960,United States,2021,1265,Finance,Trusts Except Educational Religious and Charitable
ECCX,Eagle Point Credit Company Inc. 6.6875% Notes due 2028,1487657407,United States,2022,1657,Finance,Trusts Except Educational Religious and Charitable
ECDA,ECD Automotive Design Inc. Common Stock,38079598,United States,2022,118654,Consumer Discretionary,Auto Manufacturing
ECDAW,ECD Automotive Design Inc. Warrant ,767992,United States,2022,2,Consumer Discretionary,Auto Manufacturing
ECF,Ellsworth Growth and Income Fund Ltd.,0,United States,1986,34789,Finance,Finance/Investors Services
ECF^A,Ellsworth Growth and Income Fund Ltd. 5.25% Series A Cumulative Preferred Shares (Liquidation Preference $25.00 per share),,United States,,183,,
ECL,Ecolab Inc. Common Stock,69359186952,United States,,1548562,Consumer Discretionary,Package Goods/Cosmetics
ECO,Okeanis Eco Tankers Corp. Common Stock,0,,,79707,Consumer Discretionary,Marine Transportation
ECOR,electroCore Inc. Common Stock,38378749,United States,2018,12358,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
ECPG,Encore Capital Group Inc Common Stock,979688736,United States,,62294,Finance,Finance Companies
ECVT,Ecovyst Inc. Common Stock,1063579868,United States,2017,581938,Industrials,Major Chemicals
ECX,ECARX Holdings Inc. Class A Ordinary shares,598171438,China,,235832,Technology,EDP Services
ECXWW,ECARX Holdings Inc. Warrants,9530189,China,,1300,Technology,EDP Services
ED,Consolidated Edison Inc. Common Stock,30578705147,United States,,1169372,Utilities,Power Generation
EDAP,EDAP TMS S.A. American Depositary Shares,188116160,France,1997,20872,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EDBL,Edible Garden AG Incorporated Common Stock,675752,United States,2022,54615,Consumer Staples,Farming/Seeds/Milling
EDBLW,Edible Garden AG Incorporated Warrant,13570,United States,2022,225,Consumer Staples,Farming/Seeds/Milling
EDD,Morgan Stanley Emerging Markets Domestic Debt Fund Inc. Common Stock,0,United States,2007,131214,Finance,Finance Companies
EDF,Virtus Stone Harbor Emerging Markets Income Fund Common Shares of Beneficial Interest,0,United States,2010,74365,Finance,Investment Managers
EDIT,Editas Medicine Inc. Common Stock,396387035,United States,2016,2167134,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
EDN,Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor) American Depositary Shares,715646301,Argentina,2007,28229,Utilities,Electric Utilities: Central
EDR,Endeavor Group Holdings Inc. Class A Common Stock,18984592790,United States,2021,1860042,Consumer Discretionary,Services-Misc. Amusement & Recreation
EDRY,EuroDry Ltd. Common Shares ,66646772,Greece,,14850,Consumer Discretionary,Marine Transportation
EDSA,Edesa Biotech Inc. Common Shares,13667864,United States,,3301,Health Care,Biotechnology: Pharmaceutical Preparations
EDTK,Skillful Craftsman Education Technology Limited Ordinary Share,16994396,China,2020,4163,Real Estate,Other Consumer Services
EDU,New Oriental Education & Technology Group Inc. Sponsored ADR representing 10 Ordinary Share (Cayman Islands),13092033134,China,2006,960083,Real Estate,Other Consumer Services
